month_label,year,month,date,month_index,observed_n_h1,observed_max_h1,observed_total_h1,fitted_n_h1,fitted_max_h1,fitted_total_h1
2023_10,2023,10,2023-10-01,201,12.0,0.0001250538426266,0.000603122779284,17,7.238627981694839e-05,0.0002821556106324
2023_11,2023,11,2023-11-01,202,16.0,0.00014534355583,0.0005303895662812,15,0.0001374890939613,0.0004134221722485
2023_12,2023,12,2023-12-01,203,15.0,9.18822070106124e-05,0.0006305244856799,14,6.62432626740568e-05,0.0001927475611763
2024_1,2024,1,2024-01-01,204,18.0,7.127837770412345e-05,0.0006193076239511,16,8.315209683378324e-05,0.0003433768059729
2024_2,2024,2,2024-02-01,205,11.0,0.000131717597471,0.0004572011199926,13,5.67142289082904e-05,0.0002205339177278
2024_3,2024,3,2024-03-01,206,12.0,0.0001378233105159,0.0006602995639617,15,6.911757650897905e-05,0.0002719788114164
2024_4,2024,4,2024-04-01,207,12.0,8.198737394441256e-05,0.0004426004584667,15,4.1635864510402336e-05,0.0001959964314279
2024_5,2024,5,2024-05-01,208,12.0,6.947435701482583e-05,0.0003853849337879,15,4.457150567227584e-05,0.00025322744965
2024_6,2024,6,2024-06-01,209,17.0,6.940347711420342e-05,0.000488676541837,16,4.6369708072955815e-05,0.0002347380352484
2024_7,2024,7,2024-07-01,210,8.0,5.2508598282968834e-05,0.0001979634112653,17,2.077952229662209e-05,0.0001175954461791
2024_8,2024,8,2024-08-01,211,6.0,3.4934846511256506e-05,0.0001225948502554,14,1.197709762811445e-05,4.5971224931163394e-05
2024_9,2024,9,2024-09-01,212,0.0,0.0,0.0,14,3.525485011348384e-09,9.222402480639112e-09
